ricercatore	count
lupoli giovanni	3
anzivino giuseppina	3
pittaluga ferruccio	3
morra vincenzo	3
colacurci nicola	3
cassinelli giovanni	3
armando alessandro	3
lucchini andrea	3
fera vincenzo	3
d'errico marco	3
quesada pierina maria	3
arcangeli annarosa	3
loreni fabrizio	3
genovese arturo	3
fedi maurizio	3
sinopoli gera minucci nicola	3
paolillo livio	3
abbamonte orazio	3
gambardella carmine	3
vescovini graziella	3
de simone vincenzo	3
tateo francesco	3
fabbris luigi	3
panunzi fausto	3
errico maria emanuela	3
d'angelo edoardo	3
pizzigallo matteo	3
servillo luigi	3
bertolini luca	3
cuomo vincenzo	3
isastia cimino vittorio	3
gugliermetti franco	3
falabella patrizia	3
d'errico francesco paolo	3
bella angelo	3
lazzerini lucia	3
calcagno anna elisa	3
pardolesi roberto	3
sautebin lidia	3
bonisoli arrigo	3
paganoni luigi	3
serino giorgio	3
de bernard marina	3
de angeli stefano	3
fagnano massimo	3
borghi luciana	3
garzone giuliana elena	3
ferrone vincenzo	3
silvestri romano	3
di jeso bruno	3
pagani massimo	3
feoli enrico	3
fanelli corrado	3
pisent gualtiero	3
comegna vincenzo	3
de minico giovanna	3
birolo leila	3
settis salvatore	3
coltorti massimo	3
ortolani fabio	3
de rosa mario	3
tuccillo raffaele	3
alessio gian carlo	3
mingione terenzio roberto	3
terribile fabio	3
binda luigia	3
picone mariantonietta	3
barozzi giovanni sebastiano	3
orsina luigi	3
cortese giuseppina	3
corsini piergiulio	3
iurilli antonio	3
nuti camillo	3
mola francesco	3
casadio rita	3
michelini marisa	3
bonfante paola	3
luongo gennaro	3
magnani agnese	3
opocher arrigo	3
salvatore marco	3
ruggiero giuseppina	3
carputo domenico	3
d'ursi anna maria	3
giancarlo parenti	3
andreoni vincenzina	3
dallai romano	3
bongiorno benedetto	3
panico carlo	3
zannetti marco	3
mazzanti michele	3
zaccaria anna	3
paolo arcari	3
gianfranco grossi	3
lonardo pietro	3
digilio maria cristina	3
voghera maria	3
moresi mauro	3
weber guglielmo	3
saladino vincenzo	3
d'andrea emma	3
cagliostro rosa maria	3
sacchi raffaele	3
modica carlo	3
grimoldi alberto	3
fattorusso caterina	3
milone luigi	3
sabbatini massimo	3
mineo rosa maria	3
civera tiziana	3
miani franca	3
russo annamaria	3
